HEADER,Vigor_HTC_20110811,
Default,1001,1101
Default Car-kit,1201,1301
Jabra Wave,1401,1501
Motorola H790,1402,1502
Motorola HS850,1027,1127
Motorola HT820,1039,1139
Jabra EasyGo,1403,1503
245Plantronics,1404,1504
2XX Plantronics,1028,1128
3xxPlantronics,1014,1114
590Plantronics,1040,1140
Jabra EXTREME,1405,1505
PLT_M1100,1406,1506
PROPlantronics,1407,1507
HM1000,1408,1508
HTC BH M200,1046,1146
Jabra BT2050,1034,1134
Jabra BT3030,1009,1109
Jabra BT530,1007,1107
Jabra BT8010,1037,1137
Jabra BT8040,1038,1138
Jabra Stone2,1409,1509
VBT3050,1410,1510
Jawbone ICON,1411,1511
9XXBackBeat,1412,1512
9xxPlantronics,1029,1129
Jabra Clipper,1413,1513
Jabra SP700,1414,1514
Jabra Halo,1415,1515
Motorola Finiti,1416,1516
Motorola H500,1025,1125
Motorola H700,1026,1126
Jabra Cruiser2,1417,1517
LG HBS-700,1418,1518
LG HBM-800,1419,1519
BlueAnt Q2 V1.1,1420,1520
Blueant V1 V5.3,1421,1521
Bluetooth headset,1035,1135
VH700,1422,1522
MW600,1423,1523
BHM400,1424,1524
BHM300,1425,1525
Nokia BH-505,1426,1526
Motorola S10-HD,1427,1527
Motorola S9,1019,1119
Motorola T305,1042,1142
Motorola T505,1043,1143
JAMBOX by Jawbone,1428,1528
Jawbone,1036,1136
Samsung HM-3500,1429,1529
Samsung SBH500,1041,1141
Samsung WEP500,1032,1132
Motorola Roadster,1602,1702
Motorola T605,1603,1703
BMW,1604,1704
FORD Sync,1605,1705
HandsFreeLink TM,1047,1147
HBH-608,1031,1131
Denso 03,1606,1706
JCI Honda,1607,1707
JCI Mazda,1608,1708
Luxgen Pilot,1609,1709
Parrot MK9000,1610,1710
Porsche-HFP,1611,1711
Audi BTA0626,1612,1712
Audi UHV 6384,1045,1145
BMW Combox,1613,1713
JVC KW-XR 810,1614,1714
FORD Audio,1615,1715
END,,
